Locus tag,Locus,log_fc,pvalue
Rv3215,entC,-0.31098755638014924,0.1225
Rv3801c,fadD32,-0.31096376938353737,0.0848
Rv0752c,fadE9,-0.3098108812486722,0.0708
Rv0408,pta,-0.30949498913946955,0.2175
Rv3305c,amiA1,-0.3093143076437503,0.0509
Rv1461,,-0.3090573018816596,0.0621
Rv3762c,,-0.3090208800308843,0.0068
Rv2530c,vapC39,-0.3082253091432603,0.6097
Rv1722,,-0.30700217858821754,0.0804
Rv3568c,hsaC,-0.3058951989863868,0.0645
Rv1750c,fadD1,-0.3053473794548926,0.0008
Rv1537,dinX,-0.305165542071491,0.1651
Rv0542c,menE,-0.30503216279151035,0.088
Rv1695,ppnK,-0.30404144467199146,0.1696
Rv0858c,dapC,-0.3038067888768999,0.2443
Rv2001,,-0.30283151198966474,0.7284
Rv2420c,,-0.30260756360400354,0.0192
Rv3257c,pmmA,-0.3017168515051778,0.1308
Rv3594,,-0.30152798217081916,0.3782
Rv1867,,-0.30066746274467654,0.0397
Rv0435c,,-0.30056686644723485,0.1152
Rv1307,atpH,-0.30048389788862084,0.2833
Rv2251,,-0.3003662313174501,0.0684
Rv1215c,,-0.29937877468653745,0.1644
Rv3570c,hsaA,-0.2989238856892766,0.2258
Rv3909,,-0.2987525454150937,0.507
Rv3871,eccCb1,-0.2983009388323798,0.1492
Rv2214c,ephD,-0.29825472212797305,0.3061
Rv1059,,-0.29821999297862023,0.0379
Rv3042c,serB2,-0.298083094589141,0.1433
Rv1133c,metE,-0.29800838384719985,0.0855
Rv0231,fadE4,-0.29649381540616404,0.0018
Rv0462,lpdC,-0.29593759988111473,0.041
Rv3399,,-0.2952022565596097,0.1581
Rv1816,,-0.2949574737405296,0.2161
Rv2566,,-0.29387160243621674,0.0419
Rv3674c,nth,-0.2931038590964466,0.2685
Rv3340,metC,-0.2924851172714783,0.3601
Rv2066,cobIJ,-0.29226275588561684,0.1414
Rv2447c,folC,-0.292151434143242,0.083
Rv1627c,,-0.29212207427499015,0.0879
Rv3116,moeB2,-0.2918789977331345,0.3423
Rv1769,,-0.2912121673503677,0.3063
Rv0862c,,-0.29006011115805197,0.3213
Rv2217,lipB,-0.2898395732245041,0.4121
Rv2097c,pafA,-0.2896692466335276,0.0225
Rv1847,,-0.2879630593855184,0.6202
Rv0837c,,-0.28749818477704586,0.2245
Rv2982c,gpdA2,-0.28697779088424535,0.1163
Rv0161,,-0.2865296654070162,0.054
Rv0928,pstS3,-0.286469146547379,0.3797
Rv3228,,-0.28641373862115654,0.0491
Rv2894c,xerC,-0.28546293824090935,0.2316
Rv2438c,nadE,-0.28546158047852005,0.1225
Rv1380,pyrB,-0.2847627271172556,0.3447
Rv3396c,guaA,-0.2826046226470705,0.0121
Rv3208,,-0.2822249479908097,0.2139
Rv2488c,,-0.2818701075331464,0.2457
Rv0440,groEL2,-0.2818482261379157,0.2052
Rv1297,rho,-0.2815084887649386,0.1007
Rv1904,,-0.2810005295891066,0.973
Rv1329c,dinG,-0.2808095333685659,0.1699
Rv3523,ltp3,-0.2805036779736173,0.214
Rv1696,recN,-0.2799130394084462,0.2958
Rv1656,argF,-0.2794567034180219,0.1778
Rv2410c,,-0.279279817879034,0.1771
Rv3722c,,-0.27917334868587224,0.1109
Rv3147,nuoC,-0.2789286471463654,0.4496
Rv1562c,treZ,-0.27803195981646117,0.1456
Rv3237c,,-0.2778007144317599,0.4464
Rv1033c,trcR,-0.27768861480373574,0.468
Rv1869c,,-0.27735394366875926,0.1344
Rv1402,priA,-0.27695338840761147,0.2088
Rv3254,,-0.27630800579758485,0.3103
Rv1409,ribG,-0.2761863809606214,0.1058
Rv1652,argC,-0.275685752654511,0.1575
Rv3106,fprA,-0.27481553600505165,0.0452
Rv3048c,nrdF2,-0.2748077468730605,0.3278
Rv2124c,metH,-0.27454174367681694,0.1309
Rv3562,fadE31,-0.27424446141874786,0.2103
Rv0270,fadD2,-0.27341604357651783,0.0989
Rv1206,fadD6,-0.2730341707438803,0.2616
Rv3550,echA20,-0.2727726359095007,0.1239
Rv0839,,-0.27194277637463016,0.7982
Rv0287,esxG,-0.27179679278584146,0.4438
Rv0053,rpsF,-0.2709036732681111,0.6236
Rv0255c,cobQ1,-0.2706186324952541,0.1275
Rv3231c,,-0.26888256649119224,0.3924
Rv3318,sdhA,-0.2683801221355517,0.3366
Rv3188,,-0.2681829810932886,0.7348
Rv3232c,ppk2,-0.26703831099223,0.4282
Rv2221c,glnE,-0.26642613584933494,0.1589
Rv2996c,serA1,-0.26584005087134294,0.0386
Rv0889c,citA,-0.2652233714827372,0.1112
Rv3790,dprE1,-0.26419127806315246,0.1564
Rv1043c,,-0.26398615735931535,0.2668
Rv2837c,,-0.26370656424286243,0.1525
Rv3708c,asd,-0.2630734080010211,0.124
Rv0673,echA4,-0.26239202814987095,0.1905
Rv2082,,-0.26223577544670096,0.1213
Rv2095c,pafC,-0.2618226621880442,0.1831
Rv1269c,,-0.2613352343167958,0.3963
Rv3330,dacB1,-0.261005204283196,0.3143
Rv1124,ephC,-0.26093868800513376,0.1375
Rv0217c,lipW,-0.25980257574553967,0.4375
Rv0269c,,-0.25956320316777476,0.2141
Rv2230c,,-0.25906088443238695,0.0757
Rv1259,udgB,-0.2587773398667734,0.5533
Rv0230c,php,-0.2584608698050075,0.0742
Rv3692,moxR2,-0.2582029325980409,0.1781
Rv3677c,,-0.2581743982563433,0.28
Rv3721c,dnaZX,-0.25742768969244906,0.1544
Rv2449c,,-0.2568193736521733,0.0773
Rv1631,coaE,-0.25502454732076585,0.1536
Rv1020,mfd,-0.2548604743880922,0.1898
Rv1658,argG,-0.25353174409507545,0.1766
Rv2008c,,-0.253376957505989,0.1395
Rv3213c,,-0.2531968518874349,0.4545
