Locus tag,Locus,log_fc,pvalue
Rv3003c,ilvB1,-0.4103314467371719,0.0257
Rv3153,nuoI,-0.4100412303577013,0.1381
Rv3149,nuoE,-0.4099944425047253,0.0778
Rv2027c,dosT,-0.40920122515536517,0.0121
Rv0670,end,-0.40832781808638297,0.0942
Rv2404c,lepA,-0.4059643772258795,0.11
Rv1333,,-0.40576781963064223,0.1052
Rv2826c,,-0.4057550398490236,0.0208
Rv2342,,-0.40555885956042464,0.3477
Rv0644c,mmaA2,-0.4046125198597528,0.0176
Rv1531,,-0.40319107827366935,0.0718
Rv1745c,idi,-0.4027576957956683,0.1338
Rv0509,hemA,-0.40090190109741547,0.0524
Rv0459,,-0.3991599529463803,0.3993
Rv3545c,cyp125,-0.39782410926890566,0.0629
Rv0839,,-0.3972442769210199,0.6337
Rv0023,,-0.3965819499038996,0.0266
Rv1665,pks11,-0.39632803236048897,0.0119
Rv3146,nuoB,-0.3962679602452982,0.0463
Rv0147,,-0.3955949099429838,0.1319
Rv1900c,lipJ,-0.3952265139977219,0.029
Rv0130,htdZ,-0.3932483396103151,0.393
Rv0035,fadD34,-0.3932164045901431,0.1369
Rv2190c,,-0.3931281401663743,0.334
Rv2733c,,-0.3916748537958716,0.2858
Rv3731,ligC,-0.39160968496234394,0.1404
Rv2794c,pptT,-0.39144202003964484,0.1016
Rv1593c,,-0.3907758917455169,0.2126
Rv0062,celA1,-0.38751283409164633,0.082
Rv3550,echA20,-0.3874141846185089,0.0026
Rv1530,adh,-0.38735592523046136,0.0243
Rv1232c,,-0.38662117251598627,0.0247
Rv0722,rpmD,-0.38617300050009723,0.167
Rv1692,,-0.3855231818450164,0.2578
Rv3286c,sigF,-0.3849263265844429,0.394
Rv2026c,,-0.3839619203580616,0.0656
Rv1816,,-0.3839608685705107,0.1612
Rv2245,kasA,-0.38298096030150863,0.0691
Rv3292,,-0.3828551432944475,0.0614
Rv3269,,-0.38273115673645425,0.1925
Rv0801,,-0.3826015712482732,0.0875
Rv0214,fadD4,-0.3819329103075527,0.0035
Rv2282c,,-0.3793243554269655,0.2111
Rv3917c,parB,-0.37763392408392815,0.0788
